

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.162  000.157: locale set
000.361  000.199: inits 1
000.369  000.008: window checked
000.387  000.018: parsing arguments
001.536  001.149: expanding arguments
001.552  000.016: inits 2
001.866  000.314: init highlight
001.867  000.001: waiting for UI
002.422  000.555: done waiting for UI
002.437  000.015: init screen for UI
002.467  000.030: init default mappings
002.495  000.028: init default autocommands
003.044  000.038  000.038: sourcing /usr/share/nvim/runtime/ftplugin.vim
003.159  000.019  000.019: sourcing /usr/share/nvim/runtime/indent.vim
005.429  000.062  000.062: sourcing /usr/share/nvim/runtime/syntax/synload.vim
005.969  000.007  000.007: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/filetype.vim
010.638  000.009  000.009: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
010.777  000.006  000.006: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fusion.vim
010.792  000.009  000.009: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
010.802  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
010.814  000.006  000.006: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glimmer.vim
010.824  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glsl.vim
010.835  000.006  000.006: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gowork.vim
010.849  000.009  000.009: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
010.862  000.009  000.009: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hack.vim
010.877  000.009  000.009: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
010.891  000.009  000.009: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/heex.vim
